@relation JKW_TWCL_3

@attribute TWEETCL3_ string
@attribute @@class@@ {POS,NEG}

@data
'seru sadar buka rahasia alu kena semprot',NEG
'loh emang metro bus',NEG
'zen bau bau komunis',NEG
'aku mantan solo',NEG
'telanjang om cari info ani',NEG
'uang rakyat miliar setahun uang',NEG
'aneh ya liat puan maharan getol seteru tubuh',NEG
'presiden hancur neger presiden',NEG
'sih fanatik calon pilih',NEG
'rahasia basis militer as konflik laut aja lepas tangan martabat',NEG
'suka antek komunis zionis hantu singgung dukung',NEG
'pasu nasi bungkus seribu dukung bareng debat tugu proklamasi',NEG
'politisi prihatin sumbang dana via',NEG
'situ komunis pilih hati orang indonesia butuh orang',NEG
'anjlok cium konspirasi',NEG
'oh ya lembaga bayar hasil suara',NEG
'emang palsu',NEG
'fitnah solid dukung',NEG
'iup isu libat sungguh isu biadab takut tuhan',NEG
'tangkap transpar korupsi',NEG
'ogah wajib presiden republik indonesia',NEG
'si artikel sisi negatif',NEG
'bentuk visi misi mimpin',NEG
'nila agama sikap dukung etika nila agama',NEG
'gubernur aja dah urus program gagal selesa lari',NEG
'bego tamak sera tipu korup eh khianat munafik palsu suka gila',NEG
'ya solid dukung',NEG
'kampanye hitam intimidasi turun',NEG
'oh ya lembaga bayar',NEG
'aja metro bus',NEG
'mega ayo mari pilih banteng kurus kurus makan tekan asa',NEG
'nama noda gabung',NEG
'tukang tipu boneka',NEG
'amien rais paka',NEG
'kagum cerdas debat malam oleh penuh ragu',NEG
'tim benci islam muncul',NEG
'uang rakyat miliar setahun',NEG
'ngeri sedap masuk barang usut temu era',NEG
'banget jantung yen sabar dadi nomer',NEG
'tokoh mbah paka klenik',NEG
'tipu macet macet macet',NEG
'tipu macet macet',NEG
'tipu bebas macet bebas macet',NEG
'bukti kamera arah cengenges orang banci kamera',NEG
'kritik hancur neger presiden presiden',NEG
'ungkap bohong bungkam',NEG
'kompleks orang awam sih jelek',NEG
'video langgar sumpah jabat gubernur via',NEG
'ani jujur cewa bilang cewa cewa ama',NEG
'pihak bagus',NEG
'pegang janji palsu',NEG
'menang istri',NEG
'solid dukung',NEG
'bohong tim ipu warga nu',NEG
'din manipulasi ita',NEG
'bukti presiden hancur neger',NEG
'bebal uji',NEG
'alas tanda tangan janji muharam santri jual agama nih',NEG
'nih bus karat loh hukum neger',NEG
'no anjlok cium konspirasi',NEG
'fakta bukti valid',NEG
'calon presiden nomor urut apresiasi forma da',NEG
'puasa ya ikut sahur bareng sahur sayur',NEG
'turun internal tegang',NEG
'paka panas',NEG
'dukung lulus aja',NEG
'duduk pro rakyat',NEG
'warga cewa',NEG
'dukung klarifikasi benar',NEG
'bungkus nasi kucing',NEG
'bangun revolusi mental langgar sumpah gubernur',NEG
'aja boneka bukti sederhana',NEG
'meni kaget',NEG
'kompas ani lawan arus senang hasil',NEG
'ah orasi warga via',NEG
'aja kasih skor puas',NEG
'his paka tangan kiri tangan kanan',NEG
'doang dukung dulang menang',NEG
anjing,NEG
'rendah debat',NEG
'dukung bodoh dendam',NEG
'bilang agama syawal',NEG
'kalah telak dukung hilang ikir',NEG
'komunis tobat bilang dah komunitas pilih',NEG
'dukung rdeka emang lo lo',NEG
'cih mah telak banget puji mater debat',NEG
'sebar klaim bohong dakwah',NEG
'jaman kalah banjir macet beres',NEG
'bodor kentut wangi uja',NEG
'rakyat cerdas senyum manis kamera',NEG
'dukung suara',NEG
'urus dukung dulang menang',NEG
'modus ya dukung dulang menang',NEG
'tunggu juli pilih nomer suara',NEG
'skor kayak bola aja jago',NEG
'usut temu era',NEG
via,NEG
'ganti berani',NEG
debat,NEG
'sunat debat',NEG
'bikin tegang',NEG
'ide mega emang',NEG
'kristen ya dukung heran orang kristen katolik dukung ya',NEG
'mesin maksimal dukung',NEG
'ra enak dukung dulang menang via',NEG
'tangkap usut tuntas gigi korupsi dana didik masyarakat solo desak tangkap',NEG
