@relation JKW_TWCL_1

@attribute TWEETCL_ string
@attribute @@class@@ {POS,NEG}

@data
'ada berapa banyak rumah susun yang dibangun coba deh ke marunda kalian lihat kehidupan di sana rumah hidroponik yg dibangunnya',POS
'jangan lupa pilih coblos no salam jari',POS
'lima juta jemaah shiddiqiyyah dukung tempo co',POS
'komunitas alumni sekolah kanisius yang tergabung dalam komunitas alumni cc pagi ini mendeklarasikan',POS
'jangan lupa pilih',POS
'demi jk bu risma all out di surabaya',POS
'kita satu saudara kalau beda jangan marah kita hanya cari pemimpin bukan cari pemimpi salam jari jangan lupa pilih',POS
'salam damai indonesia untuk simbol garuda sejai cerdaspilih garuda',POS
'lumayan fi jd timses bs buat nabung duit lo byk deh tp juli pilih yaah salam jari',POS
'apa aku harus kayak dek blusukan ke hatimu biar tau isi hatimu itu apa oalah',POS
'para musisi hebat harus dukung dongg love you pak',POS
'lagu dukungan indonesia hebat presiden ku jkw presiden',POS
'pintarpilih para laskar tetap semangat yakinlah kita sedang berpartisipasi membangun demokrasi indonesia yg lebih baik',POS
'kisah cinta iriana pintarpilih',POS
'wah pasti ngikutin om mario makanya senyum mulu ga kaya lawannya yang kaya orang nahan buang air',POS
'pkb kirim kader ke malaysia untuk raih suara tki guna memenangkan pasangan pkb mengirim',POS
'emg knp gue kritik jk kan gue uda blg ada ngaconya prahara ada benernya tapi ada poin yg bikin gue saklek milih',POS
'yassaalam jd ga peduli ama visi misi segala macem langsung aja gue coblos kalo gini mah',POS
'yuhuu yow salam jari hidup',POS
'jangan lupa ya teman tanggal juli jangan lupa coblos no urut yaitu salam dua jari',POS
'abis nonton bincang di net tv bagus banged itu merakyat banged view on path',POS
'pilih pintarpilih salam jari buat lovers',POS
'hahaha mbak putus asa melihat betapa fisik tidak menentukan prestasi kan makanya rajin belajat biar pintat spt he he',POS
'ratusan alumni itb dan pakar it ramaikan nobar di media center',POS
'apa efeknya kalau menjadi presiden yuk simak efeknya di cerdaspilih pintarpilih salam jari',POS
'pkb kirim kader ke malaysia untuk raih suara tki guna memenangkan pasangan pkb mengirim seju',POS
'khusus fans ada aplikasi penambah followers nih',POS
'dukungan komunitas pecinta ka bah untuk pintarpilih',POS
'banyak orang orang baik yang saya hormati gagal golput tahun ini karena saya belum menemukan itu di kubu sebelah pintarpilih',POS
'orang pintar pasti plh no pintarpilih',POS
'tak akan menghapus sertifikasi guru cerdaspilih pintarpilih salam jari',POS
'tripel helix itu konsep nya ini saya ksih link penjelasan triple helix',POS
'beritaupadate apresiasi gagasan jk soal pendidikan calon presiden nomor urut jo mentionforfolback',POS
'infojakarta ratusan alumni itb dan pakar it ramaikan nobar di media center lebih dari seratus alum',POS
'kumpulan sarjana sumatera utara kssu deklarasi dukung',POS
'presidenno apresiasi gagasan jk soal pendidikan calon presiden nomor urut jok jkadalahkita',POS
'sampaikan pda mereka pilih yg terbaik diantara yg baik bagi saya pak itu yg terbaik maka kmu jgn golput',POS
'juta tki siap dukung',POS
'kyai di riau dengan basmallah kami dukung',POS
'giliran pemuda jakarta dukung untrakyat',POS
'timses memiliki cita cita besar untuk indonesia timur',POS
'salam jari pintarpilih indonesia',POS
'sekedar berargument knp sy condong ke karena menilai kejahatan ham itu tidak bisa diampuni dngn alasan apapun',POS
'jadi presiden akan habiskan waktunya bersama rakyat cerdaspilih',POS
'minta kader partai dan relawan bersinergi pintarpilih',POS
'kh hasyim muzadi bukan capres boneka',POS
'timses memiliki cita cita besar untuk indonesia timur arg bra eng esp',POS
'gus dur apapun agamamu kalau km baik perbuatannya orang ga akan memandang agamamu kolom agama di ktp perlu dihapus ad korelasi',POS
'ratusan alumni itb dan pakar it ramaikan nobar di media center via',POS
'ya betul salam dua jari selalu di hati no bekerja salamduajari',POS
'kader demokrat bali deklarasikan komunitas pemilih dua dukung',POS
'jk sukanya kerja tak pintar bicara',POS
'jamu sehat cap untrakyat',POS
'iya tp gw yakin sih jg ngak bersih amat tapi ada harapan di mereka',POS
'organisasi kesundaan bentuk dulur',POS
'kingnews nilai jk tampil dengan paket komplit',POS
'kingnews kh hasyim muzadi bukan capres boneka',POS
'di sign language kita bisa punya nama versi sign perhatiin pas bagian penerjemahnya memberi isyarat jari tangan metal dan huruf',POS
'tol laut bagi penting untuk memenuhi rasa keadilan rakyat cerdaspilih',POS
'ekonomi apresiasi gagasan jk soal pendidikan calon presiden nomor urut mengapresias',POS
'dalam pesan tersebut arifin ilham mengatakan kita dukung untuk memimpin kita dukung untuk',POS
'jkw batam relawan di batam lesehan relakan rumah dan kios jadi posko',POS
'hindarkan isu fitnah terhadap jkw mereka hanya ingin menjatuhkan',POS
'para laskar tetap semangat yakinlah kita sedang turut berpartisipasi membangun demokrasi indonesia yang lebih baik jkw',POS
'jk sukanya kerja tak pintar bicara pak jk itu sama dengan saya sukanya kerja bicara ndak pinter',POS
'detik puji penampilan cawapresnya jk kuat penguasaan di lapangan capres mengaku bangga',POS
'hari berturut turut relawan se jabar gelar doa bersama untuk pintarpiilih',POS
'optimis pertumbuhan ekonomi indonesia bisa di atas persen cerdaspilih',POS
'pak jk saya sgt kagum dgn penampilan bapak tadi semoga bapak dan pak bs menang di tgl juli nnt salam jari pintarpilih',POS
'jubir sindir soal paparan riset hatta di debat cawapres juru bicara tim pemenangan jusuf ka',POS
'jadi presiden ahok jd gubernur jkt prabocor jd macan asia capresbocor mikir',POS
'tak akan menghapus sertifikasi guru pintarpilih',POS
'polhukam apresiasi gagasan jk soal pendidikan calon presiden nomor urut mengapresia',POS
'jk dorong subsidi silang biaya sekolah via',POS
'pintarpilih antarkan jk naik ke panggung debat',POS
'openfollow puji penampilan cawapresnya jk kuat penguasaan di lapangan capres jo mentionforfollback',POS
'apresiasi gagasan jk soal pendidikan plhkm',POS
'elektabilitas masih tinggi meski diserang propaganda hitam yahoo news indonesi via',POS
'jk dorong subsidi silang biaya sekolah',POS
'tegaspilih pak emang berkharisma enggak ngapusi tetap pilih takmau berpaling',POS
'kiai nu tangerang utara dukung',POS
'puji penampilan cawapresnya jk kuat penguasaan di lapangan pintarpilih',POS
'timses mengkritik jawaban mengenai alasan impor beras yang salah satunya',POS
'capres mengaku bangga dengan penampilan cawapresnya di ring debat kata jk',POS
'debat bela adian napitupulu ditakuti pihak lawan',POS
'puji penampilan cawapresnya jk kuat penguasaan di lapangan capres mengaku bangga dengan',POS
'relawankalbar jkw indonesiahebat pameran foto kampanye kreatif pamerkan foto jumbo solopos',POS
'yuk kampanye kreatif ajak jg teman yg lain untk mendukung pak generasioptimis',POS
'terimakasih jkw untuk negeri pintarpilih',POS
'masyarakat sumbang pintarpilih',POS
'cinta laura dukung revolusi mental',POS
'dinilai sebagai kepala keluarga yang jujur',POS
'di mata dahlan iskan pintarpilih',POS
'saya bangga ke jk penguasaan lapangan kelihatan pintarpilih',POS
'adalah kita dukungan tulus dari para pekerja seni dkk',POS
'dukungan untuk palestina diharapkan dulang kemenangan di pilpres',POS
'warga strenkali surabaya tdk cm cat genteng tulisan tp jg galang dana',POS
'jk sdh tak diragukan puji jk kuasai materi debat ketularan revolusimental',POS
'csis pdi potensial menangkan',POS
'kpk yakin mampu mengatasi korupsi pintarpilih',POS
'teknologi saya bangga ke jk penguasaan lapangan kelihatan assadiqulhaq',POS
'nomor untuk pintarpilih',POS
'persahabatan global dan amerika bag untraky',POS
'debat cawapres tim puas dengan penampilan jk quick news',POS
'kampanye bersama slank di surabaya tempo co surabaya pintarpilih',POS
'pemilih wowo kalangan menengah itu seperti keju pemilih seperti semut dibawah tikar gak kelihatan namun akan muncul disaat yg tepat',POS
'siapapun yg terpilih harus menepati janji nya tp kami yakin akan menepatinya jika terpilih',POS
'wah otak ente bener sampah kalo fakta udah dipenjara bro itu bukan fakta tp tuduhan',POS
'secara nyata dukungan pasangan capres cawapres di wilayah prov jatim jateng jabar tetap unggul pasangan dibandingkan prahara',POS
'survei indo barometer bila pemilu hari ini menang',POS
'ngikutin feelling lu kali eug mah tetap',POS
'di mata syafii maarif pintarpilih',POS
'bukti bahwa memang dicintai rakyat kecil pintarpilih',POS
'ribuan umat islam di lombok doakan menang juru bicara khofifah indar parawansa mewaspad',POS
'sebuah lagu yang terinspirasi dari kesedrhanaan dan kerja keras rakyat untuk indonesia',POS
'surakarta bukan capres boneka jpnn com bukan capres bonekajpnn comm',POS
'tawarkan solusi korban lapindo pintarpilih',POS
'pendukung bikin gerakan juta relawan saksi',POS
'kspsi syukur sapto deklarasikan dukungan ke',POS
'lawan prahara kampanye hitam dan intimidasi sgt mempengaruhi elekta',POS
'ini fakta ibu risma dukung penuh pintarpilih',POS
'populer di malaysia pintarpilih',POS
'persen suara di los angeles ke',POS
'internet saya bangga ke jk penguasaan lapangan kelihatan',POS
'aku benar benar terinspirasi seorang cinta laura yg sudah menjalankan revolusi mental',POS
'tenaga sosial dukung',POS
'lilmissphoebe hal yang berubah di jakarta pada masa pilih',POS
'saya bangga ke jk penguasaan lapangan kelihatan enggan memberikan penilaian kepada penampilan jk',POS
'cuma ngingetin aja gub sumsel aja tumbang lawan',POS
'meski wajah ndeso otak saya internasional pintarpilih',POS
'saya difitnah sabar sabar sabar pintarpilih',POS
'relawan keluarga nusantara deklarasikan dukung salam jari pintarpilih',POS
'tak akan umumkan kabinetnya sebelum dipastikan menang pintarpilih',POS
'warga ngawi sumbang ton beras buat salam jari nomor antikkn',POS
'salam jari jangan lupa pilih',POS
'dukung relawan jakarta baru ganti nama jadi laskar biji kopi pintarpilih',POS
'kspsi syukur sapto deklarasikan dukungan ke pintarpilih',POS
'tak akan menghapus sertifikasi guru pintarpilih pintarpilih',POS
'pintarpilih ponpes pegang peranan penting untuk revolusi mental',POS
'lewat obor kita bicara kebaikan pintarpilih ok broo',POS
'pkb maksimalkan waktu tersisa menangkan pintarpilih',POS
'usai bertemu slank kita butuh capres yang beri harapan pintarpilih',POS
'janji pangkas sistim perizinan pintarpilih',POS
'dukungan kepada dari warga dan pengusaha keturunan tionghoa',POS
'janjikan bbm murah untuk nelayan pintarpilih',POS
'deklarasi tim kampanye dan relawan pintarpilih',POS
'sebut jk tak pintar bicara tapi kerja pintarpilih',POS
'flashmob penari untuk pintarpilih',POS
'lsn masih tetap unggul',POS
'relawan jakarta baru tegaskan tetap dukung pintarpilih',POS
'masyarakat adat janjikan kemenangan untuk di kutai barat pintarpilih salam jari',POS
'di bekasi mega tegaskan bukan capres boneka',POS
'ruhut sitompul demokrat netral tapi kata hati aku',POS
'yahoonews ruhut sitompul demokrat netral tapi kata hati aku berita',POS
'deklarasi tenaga sosial dukung peta bisnis',POS
'fitnah yg terjadi pada menjadi keyakinan rakyat dipelosok nkri bahwa menjadi dukungan rakyat sepenuhnya utk memenangkan suara',POS
'play the logic baca bang kenapa pilih kasih penjelasan dong',POS
'dinilai sebagai simbol representasi rakyat salam jari pintarpilih',POS
'yuk dkng pak dng kampanye kreatif brsma generasioptimis di pintarpilih',POS
'jika terpilih akan meningkatan alutsista dan kesejahteraan prajurit tni pintarpilih',POS
'saya bangga kepada penguasaan lapangan kelihatan',POS
'apapa salam jari',POS
'kunjungi tempat klahiran gus dur calon presiden mengunjungi tmpat klahiran mantan presi pintarpilih',POS
'inti namah adalah kita',POS
'itu tegas tanpa ragu bukan buas tanpa malu by',POS
'teriakkan anti impor di depan pedagang pasar salam jari pintarpilih',POS
'jelang pilpres kubu anti berupaya cerdik namun busuk misi menghancurkan imej gerakan revolusi mental zona netral',POS
'ini sama bu risma milih lho salam jari',POS
'satu satunya kerja suksesnya adalah mengandangkan monyet topeng monyet',POS
'cak imin gus dur dan sama sama pemimpin ikhlas dan sabar salam jari pintarpilih',POS
'gannas deklarasi dukung salam jari pintarpilih',POS
'temukan visi misi dan program aksi untuk indonesia unduh visi misi di sini',POS
'kabarbanteng dahlan iskan magetan bisa dongkrak suara',POS
'turut dukung pak dngn kampanye positif yuk jadi generasioptimis di',POS
'jangan banyak meminta harta karena tuhan sudah mengatur rejeki kita masing masing tinggal gimana kita jalaninnya aja mom',POS
'artikelkeren lima juta jemaah shiddiqiyyah dukung',POS
'ahok terang terangan pilih pintarpilih',POS
'ketua dpd gerindra kalbar berbalik dukung tribunnews mobile',POS
'artikelkeren timses memiliki cita cita besar untuk indonesia timur',POS
'dinilai sebagai simbol representasi rakyat center kabar',POS
'warga strenkali surabaya tdk hnya cat genteng dg tulisan tp jg galang dana utk',POS
'klik sambangi pasar kumuh ciputat',POS
'hihi iyaa din lu dukung siape intan dukung ya',POS
'poros muda akan tingkatkan pemerataan pendidikan',POS
'tn sambangi pasar kumuh ciputat',POS
'juraganberita sambangi pasar kumuh ciputat siang ini pria yang akrab disapa jakartahotnews',POS
'sambangi pasar kumuh ciputat siang ini pria yang akrab disapa menyambangi pa',POS
'harapan pemahat batu borobudur terhadap bag',POS
'coblosnomor persen pendidikan di sd harus menyangkut akhlak dan mental',POS
'jadikan indonesia jadi poros maritim dunia',POS
'sukaberita sambangi pasar kumuh ciputat siang ini pria yang akrab disapa joko',POS
'relawan bagikan tabloid lentera indonesia di sukabumi pintarpilih',POS
'cak imin gus dur dan sama sama pemimpin ikhlas dan sabar salam jari coblosnomor',POS
'yang ini juga keren salam jari lagu untuk dari komunitas negeri symphony',POS
'program kjp dan kjs raih penghargaan internasional',POS
'info sambangi pasar kumuh ciputat siang ini pria yang akrab disapa menyambangi pasar ciputa',POS
'kubu dukungan rustri tak berpengaruh',POS
'dengan government rakyat akan ikhlas bayar pajak coblosnomor',POS
'sambangi pasar kumuh ciputat siang ini pria yang akrab disapa menyambangi pasar ciputat fb',POS
'ya ama tim ses nya wah parah tuh',POS
'memimpin sebuah kota adalah mengenali setiap permasalahan dan menyelesaikannya dan bersikap tegas itu tak harus keras',POS
'pers australia juluki obama nya indonesia laskar',POS
'dipimpin pendapatan dki naik rp triliun dalam setahun',POS
'anies baswedan kampanye digerakkan masyarakat bukan konglomerat',POS
'goenawan mohamad memang tak pandai pidato tapi tahu bagaimana bekerja coblosnomor',POS
'seperti suami saya sederhana hehe mau pintarpilih',POS
'ini cara berantas premanisme bandung calon presiden mem',POS
'penilaian publik jkw adalah sosok tegas berani hadapi masalah dan menselesaikannya sebaliknya pra adalah',POS
'tp kan ada jg yg milih jkw drive by logic ga cuma faktor like or dislike tp mnrut survei itu lbh byk yg milih krn rasa suka',POS
