@relation JKW_TWCL_2

@attribute TWEETCL2_ string
@attribute @@class@@ {POS,NEG}

@data
'yang terbaik',POS
'persen pendidikan di harus menyangkut akhlak dan mental',POS
'mantap ratusan alumni pakar di media',POS
'bang di sini juga ratusan alumni dan pakar di media',POS
'cinta dukung revolusi mental salam jari',POS
'kurang dari dua tahun memanusiakan taman trotoar akses publik ke lebar',POS
'salam jari genius semua pak',POS
'aku benar benar terinspirasi seorang cinta revolusi mental',POS
'anti jual diri kebanggaan seniman pendukung adalah tidak ada semuanya karena nurani jernih tulus',POS
'percuma pertumbuhan ekonomi baik kalau tak ada pemerataan',POS
'mega mari kita pilih pak banteng kurus kurus bukan karena makan tapi banyak tekanan perasaan',POS
'warga sumbang ton beras buat salam jari nomor',POS
'oke pak no bekerja salam jari',POS
'mendengar suara rakyat itu penting',POS
'ayo jaga dan jumlah pemilih kita survei mayoritas warga nu dan pilih',POS
'pak mungkin begitu pintar tapi pasti dia dan akan bekerja optimis salam jari',POS
aja,POS
'cerdas cerdas dia dari solo bagus akhirnya jadi bisa nah nomor',POS
'pemimpi banyak retorika kita butuh pemimpin hobi kerja ya hanya',POS
'akan bekerja keras membuat pemerataan pembangunan',POS
'salam jari jangan lupa pilih',POS
'salam dua jari jangan lupa pilih kalau beda jangan marah kita tetap saudara',POS
'seorang kakek datang ke bank menyumbang demi',POS
'goresan ini untuk',POS
'persahabatan global dan',POS
'salam foto dengan tapi pilih',POS
'jari ayo kita pilih',POS
'jam pagi waktu banjir mengunjungi penjaga pintu air bawa makanan gubernur mana melakukan ini',POS
'ingin warga rendah tetap mudah beli rumah',POS
'gerakan sayang stop bicara sebelah',POS
'untung bukan beliau',POS
'bu sendirian bisa juga dukung yuk gabung sama bu',POS
'semua wajib presiden republik indonesia',POS
'pulang lewat tengah malam bangun pagi untuk jam kerja lagi kerja kerja kerja',POS
'jarang datang di mana di dunia dalam sejarah pemimpin seperti saat ini indonesia yang kalau itu akan sayang',POS
'aneh turun tapi dukungan',POS
'adalah cermin rakyat sesungguhnya',POS
'setiap lihat pak senyum ikut senyum',POS
'ayo jumlah pemilih kita survei mayoritas warga nu',POS
'debat ke harap tertinggi pemilih ada bisa baik',POS
'demam kreatif hanya di kubu melahirkan semangat dan kreativitas anak muda pemimpin panutan',POS
'pilih siapa pak',POS
'keren nih net wawancara bareng net',POS
'kata kalau pengusaha dan buruh sepakat untuk mendukung maka dia tidak percaya jika tidak menang',POS
'salam jari mau mendengar rakyat suara memiliki',POS
'ku yakin nomer satu nomer satu kan nomer dua pak kurang kreatif yang bikin lagu',POS
'hati pilih nomor',POS
'bukan boneka',POS
'visi misi dan program untuk indonesia unduh visi misi di sini',POS
'keren nih video animasi kampanye makin yakin dunia animasi masa depan cerah',POS
'komunitas revolusi harmoni salam jari jangan lupa pilih lewat',POS
'premis no kalau bukan kita siapa lagi premis no adalah kita kesimpulan kalau bukan siapa lagi',POS
'kabar aktual apresiasi gagasan soal pendidikan',POS
'salam jari kami hebat',POS
'apresiasi gagasan soal pendidikan calon presiden nomor urut mengapresiasi performa',POS
'ada berapa banyak rumah susun yang coba deh ke kalian lihat kehidupan di sana rumah hidroponik',POS
'jangan lupa pilih coblos no salam jari',POS
'lima juta jemaah dukung tempo',POS
'komunitas alumni sekolah yang tergabung dalam komunitas alumni pagi ini mendeklarasikan',POS
'jangan lupa pilih',POS
'demi bu di',POS
'kita satu saudara kalau beda jangan marah kita hanya cari pemimpin bukan cari pemimpi salam jari jangan lupa pilih',POS
'salam damai indonesia untuk simbol garuda garuda',POS
'lumayan fi buat duit lo deh juli pilih salam jari',POS
'apa aku harus kayak dek ke biar tau isi itu apa',POS
'para musisi hebat harus dukung pak',POS
'lagu dukungan indonesia hebat presiden ku presiden',POS
'para laskar tetap semangat kita sedang berpartisipasi membangun demokrasi indonesia lebih baik',POS
'kisah cinta',POS
'wah pasti om makanya senyum kaya yang kaya orang buang air',POS
'kirim kader ke untuk raih suara guna memenangkan pasangan mengirim',POS
'gue kritik kan gue uda ada prahara ada tapi ada poin bikin gue',POS
'peduli ama visi misi segala langsung aja gue coblos kalo mah',POS
'salam jari hidup',POS
'jangan lupa ya teman tanggal juli jangan lupa coblos no urut yaitu salam dua jari',POS
'abis bincang di net bagus itu merakyat on',POS
'pilih salam jari buat',POS
'mbak putus asa betapa fisik tidak menentukan prestasi kan makanya rajin biar he he',POS
'apa kalau menjadi presiden yuk simak di salam jari',POS
'khusus ada aplikasi penambah nih',POS
'dukungan komunitas ka bah untuk',POS
'banyak orang orang baik yang saya gagal golput tahun ini karena saya belum menemukan itu di kubu sebelah',POS
'orang pintar pasti no',POS
'itu konsep ini saya penjelasan',POS
'apresiasi gagasan soal pendidikan calon presiden nomor urut',POS
'ratusan alumni dan pakar di media lebih dari seratus alum',POS
'kumpulan sarjana utara deklarasi dukung',POS
'apresiasi gagasan soal pendidikan calon presiden nomor urut jok',POS
'mereka pilih terbaik baik bagi saya pak itu terbaik maka golput',POS
'juta siap dukung',POS
'di dengan kami dukung',POS
'giliran pemuda dukung',POS
'memiliki cita cita besar untuk indonesia timur',POS
'salam jari indonesia',POS
'sekedar condong ke karena menilai kejahatan ham itu tidak bisa alasan',POS
'jadi presiden akan bersama rakyat',POS
'minta kader partai dan relawan bersinergi',POS
'gus dur kalau baik orang akan memandang kolom agama di perlu korelasi',POS
'ratusan alumni dan pakar di media via',POS
'ya betul salam dua jari selalu di hati no bekerja',POS
'kader demokrat komunitas pemilih dua dukung',POS
'kerja tak pintar bicara',POS
'jamu sehat cap',POS
'iya yakin sih bersih amat tapi ada harapan di mereka',POS
'organisasi bentuk dulur',POS
'nilai tampil dengan paket komplit',POS
'di kita bisa punya nama versi pas bagian isyarat jari tangan metal dan huruf',POS
'tol laut bagi penting untuk memenuhi rasa keadilan rakyat',POS
'ekonomi apresiasi gagasan soal pendidikan calon presiden nomor urut',POS
'dalam pesan tersebut arifin ilham mengatakan kita dukung untuk memimpin kita dukung untuk',POS
'relawan di lesehan rumah dan kios jadi',POS
'isu fitnah terhadap mereka hanya ingin menjatuhkan',POS
'para laskar tetap semangat kita sedang turut berpartisipasi membangun demokrasi indonesia yang lebih baik',POS
'kerja tak pintar bicara pak itu sama dengan saya kerja bicara',POS
'detik puji penampilan kuat penguasaan di lapangan mengaku bangga',POS
'hari turut relawan jabar gelar doa bersama untuk',POS
'optimis pertumbuhan ekonomi indonesia bisa di atas persen',POS
'pak saya kagum penampilan bapak tadi semoga bapak dan pak menang di juli salam jari',POS
'sindir soal paparan riset hatta di debat juru bicara tim pemenangan ka',POS
'jadi presiden gubernur macan',POS
'tak akan menghapus sertifikasi guru',POS
'dorong subsidi silang biaya sekolah via',POS
'naik ke panggung debat',POS
'puji penampilan kuat penguasaan di lapangan',POS
'apresiasi gagasan soal pendidikan',POS
'masih tinggi meski propaganda hitam via',POS
'dorong subsidi silang biaya sekolah',POS
'pak emang enggak tetap pilih',POS
'kiai nu utara dukung',POS
'mengkritik jawaban mengenai alasan impor beras yang salah',POS
'mengaku bangga dengan penampilan di ring debat kata',POS
'debat bela pihak lawan',POS
'puji penampilan kuat penguasaan di lapangan mengaku bangga dengan',POS
'pameran foto kampanye kreatif foto jumbo',POS
'yuk kampanye kreatif ajak teman lain mendukung pak',POS
'untuk negeri',POS
'masyarakat sumbang',POS
'cinta dukung revolusi mental',POS
'sebagai kepala keluarga yang jujur',POS
'di mata',POS
'saya bangga ke penguasaan lapangan kelihatan',POS
'adalah kita dukungan tulus dari para pekerja seni',POS
'dukungan untuk dulang kemenangan di',POS
'warga cat genteng tulisan galang dana',POS
'tak puji materi debat ketularan',POS
potensial,POS
'yakin mampu mengatasi korupsi',POS
'teknologi saya bangga ke penguasaan lapangan kelihatan',POS
'nomor untuk',POS
'debat tim puas dengan penampilan',POS
'kampanye bersama di tempo',POS
'pemilih kalangan menengah itu seperti keju pemilih seperti semut tikar kelihatan namun akan muncul tepat',POS
'terpilih harus menepati janji kami yakin akan jika terpilih',POS
'wah otak ente sampah kalo fakta itu bukan fakta tuduhan',POS
'secara nyata dukungan pasangan di wilayah jabar tetap unggul pasangan prahara',POS
'survei barometer bila hari ini menang',POS
'lu kali mah tetap',POS
'di mata syafii',POS
'bukti bahwa memang rakyat kecil',POS
'ribuan umat islam di lombok menang juru bicara',POS
'lagu yang terinspirasi dari dan kerja keras rakyat untuk indonesia',POS
'bukan boneka bukan',POS
'solusi korban',POS
'pendukung bikin gerakan juta relawan saksi',POS
'syukur dukungan ke',POS
'lawan prahara kampanye hitam dan intimidasi',POS
'ini fakta ibu dukung penuh',POS
'populer di',POS
'persen suara di los ke',POS
'aku benar benar terinspirasi seorang cinta sudah menjalankan revolusi mental',POS
'tenaga sosial dukung',POS
'hal yang di pada masa pilih',POS
'saya bangga ke penguasaan lapangan kelihatan enggan memberikan penilaian kepada penampilan',POS
'cuma aja aja tumbang lawan',POS
'meski wajah otak saya internasional',POS
'saya sabar sabar sabar',POS
'relawan keluarga nusantara dukung salam jari',POS
'tak akan sebelum menang',POS
'dukung relawan baru ganti nama jadi laskar biji kopi',POS
'pegang peranan penting untuk revolusi mental',POS
'lewat obor kita bicara kebaikan',POS
'waktu tersisa',POS
'usai bertemu kita butuh yang beri harapan',POS
'janji pangkas sistim perizinan',POS
'dukungan kepada dari warga dan pengusaha keturunan',POS
'murah untuk nelayan',POS
'deklarasi tim kampanye dan relawan',POS
'sebut tak pintar bicara tapi kerja',POS
'penari untuk',POS
'masih tetap unggul',POS
'relawan baru tetap dukung',POS
'masyarakat adat kemenangan untuk di barat salam jari',POS
'di mega bukan boneka',POS
'demokrat netral tapi kata hati aku',POS
'demokrat netral tapi kata hati aku berita',POS
'deklarasi tenaga sosial dukung peta bisnis',POS
'fitnah terjadi pada menjadi keyakinan rakyat bahwa menjadi dukungan rakyat memenangkan suara',POS
'baca bang kenapa pilih kasih penjelasan dong',POS
'sebagai simbol representasi rakyat salam jari',POS
'yuk pak kampanye kreatif di',POS
'saya bangga kepada penguasaan lapangan kelihatan',POS
'tempat gus dur calon presiden mengunjungi mantan',POS
'inti adalah kita',POS
'itu tegas tanpa ragu bukan buas tanpa malu',POS
'anti impor di depan pedagang pasar salam jari',POS
'jelang kubu anti berupaya cerdik namun busuk misi menghancurkan gerakan revolusi mental zona netral',POS
'ini sama bu salam jari',POS
'satu kerja adalah mengandangkan monyet topeng monyet',POS
'cak gus dur dan sama sama pemimpin ikhlas dan sabar salam jari',POS
'deklarasi dukung salam jari',POS
'visi misi dan program aksi untuk indonesia unduh visi misi di sini',POS
'bisa dongkrak suara',POS
'turut dukung pak kampanye positif yuk jadi di',POS
'jangan banyak meminta harta karena tuhan sudah mengatur rejeki kita tinggal kita aja',POS
'lima juta jemaah dukung',POS
'ketua berbalik dukung',POS
'sebagai simbol representasi rakyat kabar',POS
'klik pasar kumuh',POS
'din lu dukung intan dukung ya',POS
'poros muda akan pemerataan pendidikan',POS
'pasar kumuh',POS
'pasar kumuh siang ini pria yang akrab disapa',POS
'pasar kumuh siang ini pria yang akrab disapa menyambangi pa',POS
'harapan pemahat batu terhadap',POS
'indonesia jadi poros maritim dunia',POS
'relawan tabloid lentera indonesia di',POS
'yang ini juga keren salam jari lagu untuk dari komunitas negeri',POS
'program dan raih penghargaan internasional',POS
'info pasar kumuh siang ini pria yang akrab disapa menyambangi pasar',POS
'kubu dukungan tak berpengaruh',POS
'dengan rakyat akan ikhlas bayar pajak',POS
'pasar kumuh siang ini pria yang akrab disapa menyambangi pasar',POS
'ya ama tim wah parah',POS
'memimpin kota adalah mengenali setiap permasalahan dan dan bersikap tegas itu tak harus keras',POS
'pers indonesia laskar',POS
'pendapatan naik triliun dalam setahun',POS
'kampanye masyarakat bukan konglomerat',POS
'memang tak pandai pidato tapi tahu bagaimana bekerja',POS
'seperti suami saya sederhana mau',POS
'ini cara berantas bandung calon presiden',POS
'penilaian publik adalah sosok tegas berani masalah dan sebaliknya adalah',POS
'kan ada cuma faktor survei itu rasa suka',POS
'ya suruh ganti buat apa pelihara kompeten',POS
'saya adalah kamu kamu adalah kita dan kita adalah bangsa indonesia',POS
'sindir menteri soal listrik di yang pet be',POS
'popularitas meroket akibat kerja yuk kita baca',POS
'akun jelas tuduh bukti relevan tangkap akun ini',POS
'perusahaan harus berikan buruh upah yang layak kalau etos kerja sudah bagus maka gaji juga harus bagus',POS
'mantap buat apa pelihara menteri tidak kompeten',POS
'tol laut penting untuk memenuhi rasa keadilan rakyat',POS
'seniman bandung dukung',POS
'sudah terbiasa dengan cercaan fitnah dan tidak marah bukan pemarah bekerja dan bekerja',POS
'mumpung bulan puasa berdoa ya semoga jadi presiden indonesia amin',POS
'detik menuju kemenangan tinggal menghitung hari',POS
'minta maaf atas penyerangan tim sukses pasangan dan',POS
'dan ini terjadi di ramadan mengajarkan kita untuk menjalani kehidupan penuh syukur',POS
'salam dua jari saya adalah kamu kamu adalah kita dan kita adalah bangsa indonesia',POS
'pagi ini aku memilih diam namun selain itu aku juga akan memilih nomor mas',POS
'buat relawan hari ini pencoblosan di luar ayo kita kawal bersama di luar negeri dengan damai',POS
'ki jaka gelar baru dari masyarakat',POS
'jangan mafia haji dan daging berkuasa pilih',POS
'bisa sulut pilih',POS
'ki jaka gelar baru dari masyarakat jaka berarti ksatria ialah yang mengatur menata',POS
'foto berkampanye di',POS
'sama dengan takut akan rakyat',POS
'salam dua jari ada ada',POS
'indonesia butuh wajah pribumi hati surgawi orang nomor dua akan nomor ini',POS
'ki jaka gelar baru dari masyarakat jaka berarti ksatria ialah ya',POS
'kubu terima kasih',POS
'minta semoga ini aman',POS
'fakta sudah jual teluk ke investor takut malah dijual',POS
'pelanggar ham pewaris gaya sedangkan tidak',POS
'siap kedaulatan pangan via bila ekonomi di atas',POS
'aku ingin pemimpin amanah bukan amarah aku ingin pemimpin mau bekerja hanya mengandalkan saja',POS
'duh jelas beda loh ide usung revolusi mental transformasi mental kebebasan bebas beragama',POS
'mau menang pasti naik pangkat',POS
'dukungan petani indonesia mendukung pemimpin tulus hati peduli petani jari',POS
'jujur kuat wong orang jujur dan kuat',POS
'atas jangan sampai membohongi rakyat',POS
'tapi artis keren intelek bermartabat semua dukung om nih',POS
'memilih hari ini maaf sadar merusak foto pak indonesia lebih baik',POS
'semoga yang memilih tak hanya masyarakat saja tapi masyarakat yang lebih luas',POS
'aku pilih aja walau berpahala abis itu dan lupa bayar zakat sama aja berpahala',POS
'kalau belum yakin sama cari info mereka di semua asal jangan salam jari',POS
'secara rutin itu bukan hal cuma',POS
'kawasan pasangan lebih unggul salam jari',POS
'kita menang total pak menang tutup sendiri dijual',POS
'secara rutin itu bukan hal cuma di saat',POS
'masa kampanye pilih peduli masyarakat',POS
deklarasi,POS
'dukungan pelajar dan masyarakat indonesia di negeri ratu untuk',POS
'dari semua saksi kasus tidak ada saksi yang mengatakan bahwa ikut',POS
'kontrak politik untuk program nyata dan sudah tadi pagi',POS
'bijaksana bapak presiden haji ini juli',POS
'kontrak politik program nyata dan sudah tadi pagi',POS
'sip semua gara gara bakso daripada prahara mending',POS
'saya akan lawan kalau ia terbukti boneka dan rakyat alam sejauh ini terbukti jahat ya kubu reklamasi',POS
'aku fanatik sama tetapi aku anti totaliter biasanya berkuasa dengan tangan besi',POS
'salam dua jari mau',POS
'sebagai seorang saya sangat ide untuk mengurangi dan saya',POS
'di tengah ribuan rakyat musisi artis tokoh hadir sukarela tanpa tadi sore di',POS
'pak bowo banget minta setuju biar sama',POS
'prof penampilan meningkat',POS
'debat malam ini moderator mantap pak pak dan mat dah',POS
'ini foto belanda ini foto menyatu di',POS
'dukung di debat pamungkas',POS
'ibarat bola menang',POS
'visi misi pangan brilian menurut iman apa yang oleh sebagai',POS
'dukung syafii ini pilihan pribadi dan moral',POS
'pemimpin yang berprestasi',POS
'kita adalah harapan kekuatan kita ada pada kerelaan',POS
'pria kelahiran tahun lalu ini merupakan figur yang menunjukkan',POS
'ingat tidak cukup hanya dengan memberikan hak suara dukung orang baik alasan pilih',POS
'jangan lupa coblos sebelah kanan no atas nama pres dan ingat nomer sebelah kanan anda salam jari',POS
'jika anda pemilih cerdas dan menginginkan indonesia maju pilih presiden dan wakil presiden salam jari',POS
'jika anda pemilih cerdas dan menginginkan indonesia maju pilih presiden dan wakil presiden kal',POS
'relawan tak ternilai dengan uang nomor sederhana',POS
'menjanjikan belum di liat perkataan kami sudah saya sudah kita sudah om kami akan kami akan',POS
'indonesia adalah pemimpin sederhana jujur dan amanah terbukti untuk itu ayo kita coblos no salam jari',POS
'aku masa depan sinema indonesia raya pada',POS
ayo,POS
'jangan lupa juli coblos salam jari mau',POS
'dukungan kelompok musik terhadap bukan tiba tiba',POS
'kami butuh pemimpin yang sederhana jujur berani merakyat dan bekerja bukan pemimpin yang',POS
'entah bakal menang atau kalah berhasil pola pikir apatis menjadi optimis pasif aktif',POS
besok,POS
'lucu ada dan beliau tuhan doa',POS
'pendukung prahara bersyukur atas kemenangan mereka pernah terbeli hati lagi',POS
'tegas sama preman kok berani terbukti preman abang tetangga preman',POS
'dan sampai jam dari pemilihan belum dari pendukung prahara prestasi calon mereka cuma jelek doang',POS
'aku pilih jujur sederhana dan rakyat mengoleskan balsam di kaki',POS
'menang telak di sumbar',POS
'dengan tegas saya pilih',POS
'aku nak pakde hidup pakde',POS
'ingat ustad ingat nasib bangsa akan memimpin ke semoga mendukung merdeka',POS
'di saat semuanya memprediksi tipis eh tau menang telak eh salam jari',POS
'jangan lupa salam jari',POS
'salut artis relawan tulus bela baik salam jari',POS
'segala fitnah tipu daya prahara tak akan menyurutkan langkah memenangkan di jabar indonesia',POS
'fitnah segala cara hanya gara terima bayaran dari prahara',POS
'efek bagi saya efek satu suara saya kunci dan satu dan dua',POS
'jangan lupa pilih salam jari juli',POS
'media kampanye di detik terakhir sundari itu sederhana dan tegas',POS
'bantu saya yuk dukung pak dengan cara salam jari',POS
'sundari itu sederhana dan tegas',POS
'meningkat rupiah menguat menang ekonomi tumbuh rakyat',POS
'ingat ingat ingat ke pilih no',POS
'gua pilih lis semoga aja menang lis iya gua balik lo pilih sapa',POS
'nomor sederhana berani yahudi yang mendukung',POS
'nomor sederhana hubungan indonesia soal dan kewibawaan',POS
'dukung loh',POS
'bismillah semoga tidak salah salam jari',POS
'sundari itu sederhana dan tegas tempo',POS
'biasanya golput sekarang harus',POS
'jangan lupa datang ke yuk rame',POS
'hari ini kita bahwa semua itu asli dan bukan rekayasa',POS
'jadi visi pertama bilang pas di debat buat bantu aku orang yang',POS
'aplikasi dan visi misi ekonomi lebih konkret',POS
'demi saya harus walau perjalanan sangat panjang melalui',POS
'anak muda dukung semua jangan ada golput salam jari',POS
'pidato deklarasi kemenangan di tugu',POS
'hasil penghitungan suara dari saya terima semalam menang di',POS
'akhirnya nomor urut dua berani menggunakan bahasa inggris secara langsung dalam konferensi pers yang',POS
'real hasil survei juli ini penipuan tim hukum sebaiknya lapor polisi',POS
'tau isi hati anis kebaktian di',POS
'gua sih pandangan ekonomi cakep cocok buat sebelah lupa ini negeri ada siap',POS
'ayu kemenangan sementara kemenangan rakyat',POS
'berpeluang merapat ke dukung',POS
'dukungan rakyat presiden tidak dapat dengan uang kehendak rakyat salam jari',POS
'data versi sulut unggul di',POS
'cuma yang mampu bawa perubahan',POS
'membangun opini meresahkan bahaya komunisme yang cabut izin penyiaran',POS
'warga solo telah merayakan kemenangan calon presiden meskipun belum ada hasil resmi laporan audio',POS
'gue mendukung sebagai presiden baru',POS
'din puji wajah lebih cerah setelah',POS
'di di menang telak hampir',POS
'lapor rekap kelurahan resmi',POS
'jika menang berpeluang kembali menjadi',POS
'luar biasa pesantren menang telak',POS
'beberapa dari sekian prestasi selama jadi gubernur',POS
'terus dorong relawan proaktif kecurangan tim pemenangan',POS
'berdasar hasil tampak mayoritas warga ingin presiden dan gubernur supaya koordinasi',POS
'terus dorong relawan proaktif kecurangan',POS
'terima laporan kecurangan di',POS
'pendukung keganjilan ke kawal suara',POS
'akhirnya menang',POS
'indikasi melainkan menunjukkan bukti dari dulu sampai kiamat hasil',POS
'pak kalo pres tolong tangkap akun fitnah sara biar yakin kalo kita pemerintahan ya',POS
'pak kalo pres tolong tangkap akun fitnah sara biar yakin kalo kita',POS
'ayo suara sang pemenang baca info ini',POS
'laporan emiten semester bakal beri sentimen positif ke',POS
'ayu rawat rambut di tempat sederhana',POS
'tapi maaf pak bowo saya menghormati anda tapi saya lebih mencintai pak dia seperti harapan untuk indonesia',POS
'alhamdulillah obor rakyat melempem menang mudah di',POS
'hasil rekap kecamatan semua om',POS
'jika terpilih menjadi presiden saya berharap sifat jaman sekarang menjadi sederhana seperti',POS
'pelbagai kerusuhan yang akan terjadi tahun akan dapat jika jadi presiden',POS
'jika pak baik cinta persatuan sekali saya siap menang kalah pendukung harap',POS
'jelas kemenangan siapa kalah',POS
'itu mengakui kemenangan awal seluruh dunia prediksi kemenangan siapa ya',POS
'emang mantap nih menang mutlak',POS
'batak emang mantap nih menang mutlak',POS
'jelas menang',POS
'koalisi permanen rakyat prahara koalisi permanen preman koruptor koalisi',POS
'menang telak di luar negeri itu rakyat indonesia cerdas rekam jejak dan',POS
'jika menjadi presiden saya berharap para menteri yang hanya meja saja tanpa mau turun di non',POS
'loh coba kita ya kok pihak sebelah kaya kebakaran jenggot amat sih takut menang curiga sih',POS
'salam jari presiden pilihan rakyat indonesia',POS
